paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title
88005,10.18060/23656,2020,suder,148269,Ryan Suder,156020;92205,Ryan Suder | Suder R.,4;4;4,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88005,10.18060/23656,2020,tedor,148273,Miyuki Tedor,156024;92209,Miyuki Tedor | Tedor M.,8;8;8,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88005,10.18060/23656,2020,wendland,148268,Madalynn Wendland,156019;92204,Madalynn Wendland | Wendland M.,3;3;3,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88006,10.18060/23318,2020,copenhaver,148944,Melissa Copenhaver,156695;92210,Melissa Copenhaver | Copenhaver M.,1;1;1,1,2,A safe place: using clinical supervision groups to build interprofessional collaborative practice skills
88006,10.18060/23318,2020,crandell-williams,148945,Ann Crandell-Williams,156696;92211,Ann Crandell-Williams | Crandell-Williams A.,2;2;2,1,2,A safe place: using clinical supervision groups to build interprofessional collaborative practice skills
88007,10.18060/23679,2020,campion,148765,Patricia Campion,156516;92212,Patricia Campion | Campion P.,3;3;3,1,3,The creation of a human trafficking course: Interprofessional collaboration from development to delivery
88007,10.18060/23679,2020,lucio,148763,Robert Lucio,156514;75087,Robert Lucio | Lucio R.,1;1;1,1,3,The creation of a human trafficking course: Interprofessional collaboration from development to delivery
88007,10.18060/23679,2020,rapp-mccall,148764,Lisa Rapp-McCall,156515;75909,Lisa Rapp-McCall | Rapp-Mccall L.,2;2;2,1,3,The creation of a human trafficking course: Interprofessional collaboration from development to delivery
88008,10.18060/23673,2020,doyle,148961,Maya H. Doyle,156712;92215,Maya H. Doyle | Doyle M.H.,3;3;3,1,5,Utilizing change leadership within social work education to prioritize and expand interprofessional education in a unive
88008,10.18060/23673,2020,jacobson,148962,Stephanie Jacobson,156713,Stephanie Jacobson,4;4,1,5,Utilizing change leadership within social work education to prioritize and expand interprofessional education in a unive
88008,10.18060/23673,2020,kelly,148963,Amber Kelly,156714,Amber Kelly,5;5,1,5,Utilizing change leadership within social work education to prioritize and expand interprofessional education in a unive
88008,10.18060/23673,2020,mccave,148628,Emily L. McCave,156379;92213,Emily L. McCave | McCave E.L.,1;1;1,1,5,Utilizing change leadership within social work education to prioritize and expand interprofessional education in a unive
88008,10.18060/23673,2020,mutrie,148960,Laura Mutrie,156711;92214,Laura Mutrie | Mutrie L.,2;2;2,1,5,Utilizing change leadership within social work education to prioritize and expand interprofessional education in a unive
88009,10.18060/23682,2020,allias,148878,Mary Allias,156629;92220,Mary Allias | Allias M.,5;5;5,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,covaleski,148884,Kylea Covaleski,156635;92226,Kylea Covaleski | Covaleski K.,11;11;11,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,grant,148879,Catherine Grant,156630;92221,Catherine Grant | Grant C.,6;6;6,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,hornyak,148880,Victoria Hornyak,156631;92222,Victoria Hornyak | Hornyak V.,7;7;7,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,jantea,148875,Rachel Jantea,156626;92217,Rachel Jantea | Jantea R.,2;2;2,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,klinger,148881,Julie Klinger,156632;92223,Julie Klinger | Klinger J.,8;8;8,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,leslie,148876,Paula Leslie,156627;92218,Paula Leslie | Leslie P.,3;3;3,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,mulvaney,148874,Elizabeth A. Mulvaney,156625;92216,Elizabeth A. Mulvaney | Mulvaney E.A.,1;1;1,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,nelson,148882,Rhaven Nelson,156633;92224,Rhaven Nelson | Nelson R.,9;9;9,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,skledar,148883,Susan Skledar,156634;92225,Susan Skledar | Skledar S.,10;10;10,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,toto,148877,Pamela Toto,156628;92219,Pamela Toto | Toto P.,4;4;4,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88009,10.18060/23682,2020,wright,148885,Rollin M. Wright,156636;92227,Rollin M. Wright | Wright R.M.,12;12;12,1,12,"Improving the interprofessional practice, knowledge, and skills of health professions students through an interactive co"
88010,10.18060/23696,2020,janzen,148421,Melanie Janzen,156172;92230,Melanie Janzen | Janzen M.,3;3;3,1,3,Educating children in our care: An interprofessional dialogue
88010,10.18060/23696,2020,levine,148419,Kathryn Ann Levine,156170;92228,Kathryn Ann Levine | Levine K.A.,1;1;1,1,3,Educating children in our care: An interprofessional dialogue
88010,10.18060/23696,2020,sutherland,148420,Dawn Sutherland,156171;92229,Dawn Sutherland | Sutherland D.,2;2;2,1,3,Educating children in our care: An interprofessional dialogue
88011,10.18060/23707,2020,steen,123696,Julie Steen,148563;156314,Julie Steen | Julie Steen,1;1;1,1,1,The role of voice suppression in case managers’ job satisfaction and retention: A focus group inquiry
88013,10.18060/22933,2020,constance-huggins,148915,Monique Constance-Huggins,156666;90243,Monique Constance-Huggins | Constance-Huggins M.,1;1;1,1,3,Race still matters: The relationship between racial and poverty attitudes among social work students
88013,10.18060/22933,2020,davis,148287,Ashley Davis,156038;92231,Ashley Davis | Davis A.,2;2;2,1,3,Race still matters: The relationship between racial and poverty attitudes among social work students
88013,10.18060/22933,2020,yang,148916,Jessica Yang,156667;92232,Jessica Yang | Yang J.,3;3;3,1,3,Race still matters: The relationship between racial and poverty attitudes among social work students
88014,10.18060/23675,2020,an,123700,Soonok An,148975;156726,Soonok An | Soonok An,4;4;4,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,cho,123697,Hyunkag Cho,148489;156240,Hyunkag Cho | Hyunkag Cho,1;1;1,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,hong,123703,Seunghye Hong,149214;156965,Seunghye Hong | Seunghye Hong,7;7;7,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,kwon,123701,Ilan Kwon,149212;156963,Ilan Kwon | Ilan Kwon,5;5;5,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,lee,123704,Jungeun Olivia Lee,149215;156966,Jungeun Olivia Lee | Jungeun Olivia Lee,8;8;8,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,seon,123698,Jisuk Seon,149210;156961,Jisuk Seon | Jisuk Seon,2;2;2,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,son,123705,Esther Son,149216;156967,Esther Son | Esther Son,9;9;9,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88014,10.18060/23675,2020,yun,123706,Sung Hyun Yun,148223;155974,Sung Hyun Yun | Sung Hyun Yun,10;10;10,1,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students"
88015,10.18060/23614,2020,bullock,148280,Angela N. Bullock,156031;75908,Angela N. Bullock | Bullock A.N.,3;3;3,1,4,Teaching practice skills to online msw students: The blended skills lab model
88015,10.18060/23614,2020,colvin,148279,Alex D. Colvin,156030;75906,Alex D. Colvin | Colvin A.D.,2;2;2,1,4,Teaching practice skills to online msw students: The blended skills lab model
