author_id,name,reason
2520,"SIMSARIAN, FP",paper_has_no_doi
2521,"SLATER, R",paper_has_no_doi
2522,"SMITH, H",paper_has_no_doi
2523,"BROWN, H",paper_has_no_doi
2528,"VANDALEN, A",partial_agreement: Annaclare | Annaclare
2529,"WARNER, S",paper_has_no_doi
2530,"WESTON, C",paper_has_no_doi
2536,"BUTLER, SS",paper_has_no_doi
2542,"MILLS, CS",paper_has_no_doi
2543,"GRANOFF, BJ",paper_has_no_doi
2551,"FURSTENBERG, AL",initials_conflict
2552,"BURKE, SG",paper_has_no_doi
2554,"PHAOBTONG, T",paper_has_no_doi
2557,"BELL, WJ",paper_has_no_doi
2558,"STRECKER, JB",paper_has_no_doi
2560,"CHECKOWAY, B",paper_has_no_doi
2561,"ZIMMERMAN, MA",paper_has_no_doi
2563,"COYLE, C",paper_has_no_doi
2565,"CREECY, RF",paper_has_no_doi
2568,"CULLEN, DL",paper_has_no_doi
2572,"DORFMAN, R",partial_agreement: Rachelle | Rachelle A.
2575,"DAS, DKL",paper_has_no_doi
2576,"SEKHAR, SFC",paper_has_no_doi
2580,"DHANDA, A",paper_has_no_doi
2582,"DONNELLY, JP",paper_has_no_doi
2584,"DUFFY, TK",paper_has_no_doi
2590,"FARBER, N",paper_has_no_doi
2593,"FILLIT, H",paper_has_no_doi
2596,"SACHS, C",paper_has_no_doi
2597,"SELL, L",paper_has_no_doi
2598,"SIEGEL, P",paper_has_no_doi
2600,"BUTLER, RN",paper_has_no_doi
2601,"FRANK, PB",paper_has_no_doi
2603,"GANGULY, KK",paper_has_no_doi
2604,"YADAV, S",paper_has_no_doi
2605,"MAHAPATRA, A",paper_has_no_doi
2606,"DAM, PK",paper_has_no_doi
2610,"GATHIAWALA, JI",paper_has_no_doi
2617,"GLISSON, C",partial_agreement: Charles | Charles
2618,"JAMES, L",paper_has_no_doi
2619,"GOLD, B",paper_has_no_doi
2620,"ROSEN, S",paper_has_no_doi
